Rpt Rec Num,Prvdr Num Chr,Provider Name,City,State Abbrev,Clean Provider Group,Clean Provider Model Class,Revenue Source Method,Net Patient Revenue Model,Outpatient Exposure Used,Outpatient Repricing Pressure,Uncompensated Care Offset,Stabilization Support,Net Provider Impact,Net Provider Impact Pct of Npr,Stabilization Tier,Stabilization Basis,Large Negative Impact Flag,Severe Negative Impact Flag,Permanent Rural Access Eligible Flag,Pediatric Transition Eligible Flag,Case F Temporary Support,Case F Permanent Rural Access Support,Case F Total Added Support,Case F Net Impact,Case F Net Impact Pct Npr
824180,440082,SAINT THOMAS WEST HOSPITAL,NASHVILLE,TN,General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,1231642803,444971583.326632,-44497158.3326632,"$11,953,800",$0,-32543358.0826632,-0.0264227241886974,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$32,543,358",-0.0264227241886974
830339,151325,ASCENSION ST. VINCENT WARRICK,BOONEVILLE,IN,General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,18819122,14225063.4166518,-1422506.34166518,"$547,952","$284,501",-590053.573332143,-0.0313539374117529,Tier 3 - high transition support,UC burden safety-net trigger,FALSE,FALSE,FALSE,FALSE,"$94,096",$0,"$94,096","-$495,958",-0.026353937411753
824182,440148,ST THOMAS DEKALB HOSPITAL,SMITHVILLE,TN,General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,12669834,10614578.5630666,-1061457.85630666,"$460,221","$212,292",-388945.785045326,-0.0306985699295923,Tier 3 - high transition support,UC burden safety-net trigger,FALSE,FALSE,FALSE,FALSE,"$63,349",$0,"$63,349","-$325,597",-0.0256985699295923
824489,110168,ADVENTHEALTH REDMOND,REDMOND,GA,General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,374680585,163770036.623268,-16377003.6623268,"$5,118,645","$1,637,700",-9620658.29609412,-0.0256769597391712,Tier 2 - moderate transition support,UC burden safety-net trigger,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$9,620,658",-0.0256769597391712
826118,41303,MERCY HOSPITAL OZARK,OZARK,AR,General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,10321614,8287405.40298827,-828740.540298827,"$352,671","$165,748",-310321.682239062,-0.0300652283876399,Tier 3 - high transition support,UC burden safety-net trigger,FALSE,FALSE,FALSE,FALSE,"$51,608",$0,"$51,608","-$258,714",-0.02506522838764
825051,450042,ASCENSION PROVIDENCE,WACO,TX,General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,347385720,189155622.261227,-18915562.2261227,"$8,344,627","$1,891,556",-8679379.50351045,-0.0249848482646623,Tier 2 - moderate transition support,UC burden safety-net trigger,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$8,679,380",-0.0249848482646623
828160,440048,BAPTIST MEM HOSPITAL MEMPHIS,MEMPHIS,TN,General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,950850820,397344925.757727,-39734492.5757727,"$12,435,129","$3,973,449",-23325914.5681955,-0.0245316237600715,Tier 2 - moderate transition support,UC burden safety-net trigger,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$23,325,915",-0.0245316237600715
812240,50116,NORTHRIDGE MEDICAL CENTER - ROSCOE,NORTHRIDGE,CA,General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,573313729,182863464.668711,-18286346.4668711,"$4,265,392",$0,-14020954.4668711,-0.0244559893783236,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$14,020,954",-0.0244559893783236
825255,290053,ST. ROSE DOMINICAN - SAN MARTIN,LAS VEGAS,NV,General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,189716904,78086798.8845896,-7808679.88845896,"$2,472,544","$780,868",-4555268.14961307,-0.0240108712169005,Tier 2 - moderate transition support,UC burden safety-net trigger,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$4,555,268",-0.0240108712169005
826519,360035,MOUNT CARMEL HEALTH,COLUMBUS,OH,General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,789292952,324926654.333788,-32492665.4333788,"$10,332,346","$3,249,267",-18911053.1400409,-0.0239594856283994,Tier 2 - moderate transition support,UC burden safety-net trigger,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$18,911,053",-0.0239594856283994
