provider_model_class,wksht_cd,line_num_chr,clmn_num_chr,n_rows,n_reports,nonzero_reports,min_value,p25_value,median_value,mean_value,p75_value,max_value,total_value
Critical access hospital,G200000,00300,00300,15,15,15,4989695,15677134,27388350,34197059.8666667,40293589,101500022,512955898
Critical access hospital,G200000,00500,00100,4,4,4,191044,225613,326318,3544913.5,3645618.5,13335974,14179654
Critical access hospital,G200000,00500,00300,4,4,4,191044,225613,326318,3544913.5,3645618.5,13335974,14179654
Critical access hospital,G200000,00600,00100,5,5,5,11500,19655,28032,2662864.8,429500,12825637,13314324
Critical access hospital,G200000,00600,00300,5,5,5,11500,19655,28032,2662864.8,429500,12825637,13314324
Critical access hospital,G200000,00700,00100,11,11,11,6476051,8393238.5,15848798,13893201.1818182,17439351,20946273,152825213
Critical access hospital,G200000,00700,00300,11,11,11,6476051,8393238.5,15848798,13893201.1818182,17439351,20946273,152825213
Critical access hospital,G200000,00800,00100,5,5,5,3656151,4323995,6201402,6913614.4,8736732,11649792,34568072
Critical access hospital,G200000,00800,00300,5,5,5,3656151,4323995,6201402,6913614.4,8736732,11649792,34568072
Critical access hospital,G200000,00900,00100,9,9,9,238762,1522335,25248737,53953755.2222222,105112618,173573687,485583797
Critical access hospital,G200000,00900,00300,9,9,9,238762,1522335,25248737,53953755.2222222,105112618,173573687,485583797
Critical access hospital,G200000,01000,00100,145,145,145,296105,13557398,50753110,246613968.296552,157452560,4529370545,35759025403
Critical access hospital,G200000,01000,00300,145,145,145,296105,13557398,50753110,246613968.296552,157452560,4529370545,35759025403
Critical access hospital,G200000,01100,00100,45,45,45,400448,19710026,54024583,143587833.244444,211260388,971119134,6461452496
Critical access hospital,G200000,01100,00300,45,45,45,400448,19710026,54024583,143587833.244444,211260388,971119134,6461452496
Critical access hospital,G200000,01101,00100,17,17,17,607357,12877073,34371660,78791848.9411765,70193695,694732594,1339461432
Critical access hospital,G200000,01101,00300,17,17,17,607357,12877073,34371660,78791848.9411765,70193695,694732594,1339461432
Critical access hospital,G200000,01102,00100,3,3,3,23801637,33959944.5,44118252,43337136.6666667,53104886.5,62091521,130011410
Critical access hospital,G200000,01102,00300,3,3,3,23801637,33959944.5,44118252,43337136.6666667,53104886.5,62091521,130011410
Critical access hospital,G200000,01200,00100,20,20,20,2414905,14174754,45402539.5,63482678.1,66809352.5,325646166,1269653562
Critical access hospital,G200000,01200,00300,20,20,20,2414905,14174754,45402539.5,63482678.1,66809352.5,325646166,1269653562
Critical access hospital,G200000,01201,00100,1,1,1,46406922,46406922,46406922,46406922,46406922,46406922,46406922
Critical access hospital,G200000,01201,00300,1,1,1,46406922,46406922,46406922,46406922,46406922,46406922,46406922
Critical access hospital,G200000,01300,00100,12,12,12,416860,10042503.5,25505563,33337032.5833333,37687664.75,101935927,400044391
Critical access hospital,G200000,01300,00300,12,12,12,416860,10042503.5,25505563,33337032.5833333,37687664.75,101935927,400044391
Critical access hospital,G200000,01301,00100,1,1,1,30989740,30989740,30989740,30989740,30989740,30989740,30989740
Critical access hospital,G200000,01301,00300,1,1,1,30989740,30989740,30989740,30989740,30989740,30989740,30989740
Critical access hospital,G200000,01400,00100,11,11,11,14336802,22674730,40490055,103180498.363636,99277321,517276502,1134985482
Critical access hospital,G200000,01400,00300,11,11,11,14336802,22674730,40490055,103180498.363636,99277321,517276502,1134985482
Critical access hospital,G200000,01401,00100,4,4,4,12386976,17641383,27428462,59512349.5,69299428.5,170805498,238049398
Critical access hospital,G200000,01401,00300,4,4,4,12386976,17641383,27428462,59512349.5,69299428.5,170805498,238049398
Critical access hospital,G200000,01402,00100,3,3,3,23832167,32758444,41684721,54364879,69631235,97577749,163094637
