rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_model_class,clean_provider_group,revenue_source_method,revenue_use_for_model_flag,operating_revenue_candidate,operating_income_candidate,operating_margin_candidate,diagnostic_margin_stress_tier,diagnostic_margin_note,stabilization_tier,stabilization_basis,annual_transition_support_cap_model
828412,412001,ELEANOR SLATER HOSPITAL,CRANSTON,RI,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,149687053,-149687053,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828574,334020,ROCHESTER P.C.,ROCHESTER,NY,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,76634787,-76634787,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828576,334054,MANHATTAN P.C.,NEW YORK,NY,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,94015743,-94015743,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828578,334061,MID-HUDSON P.C.,NEW HAMPTON,NY,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,81570596,-81570596,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828669,334053,BRONX P.C.,BRONX,NY,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,82676215,-82676215,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
829188,244002,ANOKA-METRO REGIONAL TREATMENT CTR.,ST. PAUL,MN,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,72883384,-72883384,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
823345,344026,CHERRY HOSPITAL,GOLDSBORO,NC,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,55051524,-50339171,-0.914401043647765,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
827888,514012,WILLIAM R SHARPE JR HOSPITAL,WESTON,WV,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,136112694,-120107206,-0.882410027091228,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
826057,374000,GRIFFIN MEMORIAL HOSPITAL,NORMAN,OK,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,41245885,-36383608,-0.882114858245859,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
827962,494033,CATAWBA HOSPITAL,CATAWBA,VA,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,43991293,-35506849,-0.807133561634572,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
827963,514009,MILDRED MITCHELL-BATEMAN HOSPITAL,HUNTINGTON,WV,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,59899258,-46609032,-0.778123695622407,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
827872,344025,BROUGHTON HOSPITAL,MORGANTON,NC,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,185998481,-97526168,-0.524338518657042,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828433,154008,NUERODIAGNOSTIC INSTITUTE,INDIANAPOLIS,IN,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,standard_g2_l028_split,TRUE,44275532,-21884366,-0.4942767486114,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
829634,454008,NTSH - WITCHITA FALLS & VERNON,WICHITA FALLS,TX,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,198419501,-89950459,-0.453334770759251,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828493,264005,SMMHC,FARMINGTON,MO,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,standard_g2_l028_split,TRUE,113165617,-51030785,-0.450938954364558,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
826521,360048,UNIV OF TOLEDO MEDL CENTER,TOLEDO,OH,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,standard_g2_l028_split,TRUE,506900487,-153356623,-0.302537927922725,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
825508,120005,HILO MEDICAL CENTER,HILO,HI,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,standard_g2_l028_split,TRUE,374233655,-57447921,-0.153508163235613,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
799308,010114,UAB MEDICAL WEST,BESSEMER,AL,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,standard_g2_l028_split,TRUE,177360934,-23564563,-0.132862195008513,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,UC burden safety-net trigger,969233.942839865
823217,010011,ST. VINCENTS EAST,BIRMINGHAM,AL,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,standard_g2_l028_split,TRUE,300594935,-37419612,-0.12448517138188,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,UC burden safety-net trigger,1216317.86774592
824471,070036,JOHN DEMPSEY HOSPITAL,FARMINGTON,CT,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,standard_g2_l028_split,TRUE,818966245,-90669182,-0.110711744902258,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
